icr_id,dimension,points,maximum,rationale,source_ids,locator,evidence_version
202310-1220-004,item14,3,10,"Only collection/noncollection budget split, without workload or allocation derivation.",SRC-0077;SRC-0078,Item14,M1-1.0.0
202310-1220-004,item15,6,10,Prior approval and new total identified; increased sample explains direction but no quantitative driver bridge.,SRC-0077;SRC-0078,Item15,M1-1.0.0
202310-1220-004,validation,4,5,Past collection experience supports timing and mix; specific timing-study evidence not supplied.,SRC-0077;SRC-0078,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202310-1220-004,consistency,4,5,Annualization and wage products reconcile within rounding; unique respondents versus repeated QA contacts requires care.,SRC-0077;SRC-0078,Items12–15 and ROCIS summary,M1-1.0.0
202311-2137-001,reproducibility,18,20,Activity-specific company/site/route counts and times mostly reconstruct; some totals rounded.,SRC-0079;SRC-0080,Item12,M1-1.0.0
202311-2137-001,provenance,8,15,2019 wages and benefit share identified; population and timing assumptions are not current empirical estimates.,SRC-0079;SRC-0080,Items12–15 and footnotes,M1-1.0.0
202311-2137-001,segmentation,14,15,"Large/small new and existing firms, rail classes and route activities distinguished.",SRC-0079;SRC-0080,Item12,M1-1.0.0
202311-2137-001,labor,4,10,Office-clerk rate for security planning needs occupational justification; benefit denominator method is explicit.,SRC-0079;SRC-0080,Item12,M1-1.0.0
202311-2137-001,item13,5,10,Zero nonlabor cost repeated without implementation or systems boundary analysis.,SRC-0079;SRC-0080,Item13,M1-1.0.0
202311-2137-001,item14,2,10,"Zero asserted despite inspection activity, without allocation rationale.",SRC-0079;SRC-0080,Item14,M1-1.0.0
202311-2137-001,item15,8,10,Rule removal has quantified responses and hours; directional typo in prose.,SRC-0079;SRC-0080,Item15,M1-1.0.0
202311-2137-001,validation,2,5,Experienced estimates but no direct burden measurement or ranges.,SRC-0079;SRC-0080,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202311-2137-001,consistency,3,5,One-hour update rounding and increase/decrease wording; main structure remains reproducible.,SRC-0079;SRC-0080,Items12–15 and ROCIS summary,M1-1.0.0
202312-2050-001,reproducibility,14,20,Role-hour matrix andold/new burdens explicit; labor products fail forannualreports.,SRC-0055;SRC-0056,Item12,M1-1.0.0
202312-2050-001,provenance,10,15,"2018wages,2019ECEC,2005RACER defaults identified; age andbase rates require validation.",SRC-0055;SRC-0056,Items12–15 and footnotes,M1-1.0.0
202312-2050-001,segmentation,15,15,"Facilitytype,activity andthree laborroles; overlap ledger linked to2070-0112.",SRC-0055;SRC-0056,Item12,M1-1.0.0
202312-2050-001,labor,6,10,Overhead1.336 components includingprofit disclosed withlimitations; final rates notfully derived.,SRC-0055;SRC-0056,Item12,M1-1.0.0
202312-2050-001,item13,7,10,Mailing3.96*442 clear; existing ICR unitprice source andcapitalzero rationale.,SRC-0055;SRC-0056,Item13,M1-1.0.0
202312-2050-001,item14,7,10,Grade/role hours andgross/net impacts; tableheader respondent rates conflict withgovernment rates.,SRC-0055;SRC-0056,Item14,M1-1.0.0
202312-2050-001,item15,8,10,8276gross versus8266baseline=10net explicitlytable; Item15new/nochange wording misleading.,SRC-0055;SRC-0056,Item15,M1-1.0.0
202312-2050-001,validation,3,5,Economic assessment andcandid overhead uncertainty;timeassumptions notempirically tested.,SRC-0055;SRC-0056,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202312-2050-001,consistency,1,5,Manager38h*102.26+clerical2h*38.27 doesnot reproduce6136; copying andminute conversion problems.,SRC-0055;SRC-0056,Items12–15 and ROCIS summary,M1-1.0.0
202401-1615-055,reproducibility,19,20,Two clearrows andbiometric multiple-person explanation.,SRC-0057;SRC-0058,Item12,M1-1.0.0
202401-1615-055,provenance,6,15,2018BLSalloccupations and1.46multiplier withoutsource; currentfee rule identified.,SRC-0057;SRC-0058,Items12–15 and footnotes,M1-1.0.0
202401-1615-055,segmentation,13,15,Petition andbiometricpeople separated; range ofpurchasedassistance.,SRC-0057;SRC-0058,Item12,M1-1.0.0
202401-1615-055,labor,4,10,Alloccupations choice explained butstaleuniversalrate andbenefitsunsupported.,SRC-0057;SRC-0058,Item12,M1-1.0.0
202401-1615-055,item13,7,10,25%*515*153000 explicit; range20–1000doesnotitselfjustify515mean.,SRC-0057;SRC-0058,Item13,M1-1.0.0
202401-1615-055,item14,5,10,Fee-based activitycostproxy; acknowledges cross-subsidy forfreebenefits undermines collection-specific equivalence.,SRC-0057;SRC-0058,Item14,M1-1.0.0
202401-1615-055,item15,9,10,Oldnewtable preciselyexplains27999hours removedwithfeecontent.,SRC-0057;SRC-0058,Item15,M1-1.0.0
202401-1615-055,validation,2,5,No empirical supportfor25%or515; timingasserted.,SRC-0057;SRC-0058,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202401-1615-055,consistency,4,5,Hourandcostproducts reconcile to rounding.,SRC-0057;SRC-0058,Items12–15 and ROCIS summary,M1-1.0.0
202401-2070-005,reproducibility,16,20,Reporting-cycle and approval-period formulas explicit; aggregate typo and federal quantity conflict.,SRC-0182;SRC-0183;SRC-0190,Item12,M1-1.0.0
202401-2070-005,provenance,10,15,"2016CDR adjusted by2020RIAs; detailed2020ECEC supplement, stale input vintage.",SRC-0182;SRC-0183;SRC-0190,Items12–15 and footnotes,M1-1.0.0
202401-2070-005,segmentation,15,15,"Site/chemical, partial reports, new reporters, reporting cycles and fixed/variable federal work.",SRC-0182;SRC-0183;SRC-0190,Item12,M1-1.0.0
202401-2070-005,labor,7,10,Three ECEC manufacturing groups plus separately identified20%overhead; role-time weights reside in cited economic analyses.,SRC-0182;SRC-0183;SRC-0190,Item12,M1-1.0.0
202401-2070-005,item13,7,10,Zero O&M stated; capital not separately substantiated.,SRC-0182;SRC-0183;SRC-0190,Item13,M1-1.0.0
202401-2070-005,item14,7,10,"Federal hours, contractor categories and fixed/variable split; GS13rate basis missing from duplicated private wage supplement.",SRC-0182;SRC-0183;SRC-0190,Item14,M1-1.0.0
202401-2070-005,item15,9,10,Exact old-to-new changes by population and requirements; detailed baseline correction of two test sites.,SRC-0182;SRC-0183;SRC-0190,Item15,M1-1.0.0
202401-2070-005,validation,3,5,"Administrative data and consultation, but aged coefficients and no accessible uncertainty analysis.",SRC-0182;SRC-0183;SRC-0190,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202401-2070-005,consistency,2,5,735485 vs729485 typo; federal QC hours do not equal displayed input product.,SRC-0182;SRC-0183;SRC-0190,Items12–15 and ROCIS summary,M1-1.0.0
202401-3235-005,reproducibility,14,20,Extensive task/respondent tables and formulas; initial cohorts and inconsistent counts complicate independent totals.,SRC-0107;SRC-0108,Item12,M1-1.0.0
202401-3235-005,provenance,9,15,Private Fund Statistics vintage and historical entry rates disclosed; SIFMA2013 data and inflation chain incomplete.,SRC-0107;SRC-0108,Items12–15 and footnotes,M1-1.0.0
202401-3235-005,segmentation,15,15,"Fund size/type, initial/ongoing/event/transition/final filings and professional roles distinct.",SRC-0107;SRC-0108,Item12,M1-1.0.0
202401-3235-005,labor,4,10,Detailed labor mix but several averages and products conflict; combined multipliers not decomposed.,SRC-0107;SRC-0108,Item12,M1-1.0.0
202401-3235-005,item13,6,10,"Filing fee and startup service cost separated;50000 average derived from0–100000 range without distribution,annual entrant annualization questionable.",SRC-0107;SRC-0108,Item13,M1-1.0.0
202401-3235-005,item14,2,10,No directly attributable federal costs asserted without resource explanation.,SRC-0107;SRC-0108,Item14,M1-1.0.0
202401-3235-005,item15,7,10,Old/new totals and liquidity-fund changes shown; hour and dollar tables use inconsistent underlying counts/times.,SRC-0107;SRC-0108,Item15,M1-1.0.0
202401-3235-005,validation,3,5,Observed entrant rates and discussion of range; time assumptions are agency estimates.,SRC-0107;SRC-0108,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202401-3235-005,consistency,1,5,"Financial blended rate, event role hours, final-filing counts and prior-equity hours disagree across tables.",SRC-0107;SRC-0108,Items12–15 and ROCIS summary,M1-1.0.0
202402-0648-005,reproducibility,17,20,Four activity calculations explicit; initial rounding and automatic-response boundary need qualification.,SRC-0126;SRC-0127,Item12,M1-1.0.0
202402-0648-005,provenance,10,15,"Vendor range, local technician quotes and CAPS2024 identified; some prices not linked.",SRC-0126;SRC-0127,Items12–15 and footnotes,M1-1.0.0
202402-0648-005,segmentation,13,15,"New, replacement, maintenance and failure activities separated.",SRC-0126;SRC-0127,Item12,M1-1.0.0
202402-0648-005,labor,3,10,Owner presence hours assigned zero labor cost because technician paid in Item13; distinct owner opportunity cost unvalued.,SRC-0126;SRC-0127,Item12,M1-1.0.0
202402-0648-005,item13,7,10,"Equipment, service and repair costs explicit, but reimbursements netted and higher reporting-frequency scenarios unsupported.",SRC-0126;SRC-0127,Item13,M1-1.0.0
202402-0648-005,item14,7,10,"Two federal grades, FTE shares and52% load; equipment reimbursements omitted from cost boundary.",SRC-0126;SRC-0127,Item14,M1-1.0.0
202402-0648-005,item15,7,10,"Old/new by activity, with program versus adjustment explanations; combined effects not fully decomposed.",SRC-0126;SRC-0127,Item15,M1-1.0.0
202402-0648-005,validation,3,5,"Three local technician quotes and known fleet, but service-price offset assumption untested.",SRC-0126;SRC-0127,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202402-0648-005,consistency,3,5,Main arithmetic reconciles at rounded counts; maintenance frequency and response definition conflict.,SRC-0126;SRC-0127,Items12–15 and ROCIS summary,M1-1.0.0
202402-1652-002,reproducibility,14,20,"Nine activity rows and equations, but appeals and recordkeeping narrative do not reproduce displayed values.",SRC-0003;SRC-0004,Item12,M1-1.0.0
202402-1652-002,provenance,11,15,Precise BLS vintages/NAICS/SOC and ECEC dates; internal Modular Cost Data inaccessible.,SRC-0003;SRC-0004,Items12–15 and footnotes,M1-1.0.0
202402-1652-002,segmentation,13,15,Separate new/renewal/appeal/amendment/STA/electronic/manual/recordkeeping paths; overlapping respondents identified.,SRC-0003;SRC-0004,Item12,M1-1.0.0
202402-1652-002,labor,5,10,Employment-weighted occupational wages useful; contradictory loading factor and occupation proxies weaken defense.,SRC-0003;SRC-0004,Item12,M1-1.0.0
202402-1652-002,item13,8,10,STA fee and quantity multiply exactly; broader zero capital/O&M scope not fully justified.,SRC-0003;SRC-0004,Item13,M1-1.0.0
202402-1652-002,item14,6,10,Two labor tasks and contract components; KSMS O&M differs between narrative and table.,SRC-0003;SRC-0004,Item14,M1-1.0.0
202402-1652-002,item15,4,10,Several old/new counts given but no complete quantified hour bridge; adjustment language self-contradictory.,SRC-0003;SRC-0004,Item15,M1-1.0.0
202402-1652-002,validation,2,5,"Past experience supports some activity assumptions, without time measurement or ranges.",SRC-0003;SRC-0004,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202402-1652-002,consistency,1,5,Multiple material conflicting values; not only rounding.,SRC-0003;SRC-0004,Items12–15 and ROCIS summary,M1-1.0.0
202403-0607-001,reproducibility,19,20,Twomeaningfulformgroupswithquarterlyfrequencyreproducehoursandcosts.,SRC-0165;SRC-0166,Item12,M1-1.0.0
202403-0607-001,provenance,11,15,OEWS2022SOCprecise; routineconsultationsbutunderlyingcountsnotattached.,SRC-0165;SRC-0166,Items12–15 and footnotes,M1-1.0.0
202403-0607-001,segmentation,13,15,Revenue-onlyandexpandedformsdistinguishedbypreparationcomplexity.,SRC-0165;SRC-0166,Item12,M1-1.0.0
202403-0607-001,labor,6,10,Accountantmeanwage41.70no benefits/overhead.,SRC-0165;SRC-0166,Item12,M1-1.0.0
202403-0607-001,item13,10,10,"Explicitusualrecords,no specialsoftware,outsideservicesusualbusiness justification.",SRC-0165;SRC-0166,Item13,M1-1.0.0
202403-0607-001,item14,3,10,3.9millionbudgetcategorylistwithoutquantities.,SRC-0165;SRC-0166,Item14,M1-1.0.0
202403-0607-001,item15,5,10,Samplemaintenanceexplanationwithoutoldnewbridge.,SRC-0165;SRC-0166,Item15,M1-1.0.0
202403-0607-001,validation,3,5,Routine respondentdiscussionsanddataconsistencywork; notmeasuredtimevalidation.,SRC-0165;SRC-0166,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202403-0607-001,consistency,4,5,Coretotalscoherent; packagebaselinechangesnotexplainedquantitatively.,SRC-0165;SRC-0166,Items12–15 and ROCIS summary,M1-1.0.0
202403-0910-005,reproducibility,16,20,Eleven reporting activities and recordkeeping provided; resubmissions narrative conflicts with table.,SRC-0005;SRC-0006,Item12,M1-1.0.0
202403-0910-005,provenance,9,15,OEWS industry/year supplied but current URL;GS salary year and precise table absent.,SRC-0005;SRC-0006,Items12–15 and footnotes,M1-1.0.0
202403-0910-005,segmentation,13,15,"Application,forms,amendments,postmarket,ownership,waivers and records distinguished; one industry-average wage.",SRC-0005;SRC-0006,Item12,M1-1.0.0
202403-0910-005,labor,4,10,Doubles all-occupation wage for benefits/overhead without components or empirical factor.,SRC-0005;SRC-0006,Item12,M1-1.0.0
202403-0910-005,item13,3,10,Blanket zero despite complex study/submission scope; no rationale.,SRC-0005;SRC-0006,Item13,M1-1.0.0
202403-0910-005,item14,5,10,130FTE*GS13/4 salary reconstructs but FTE requirement and benefits not shown.,SRC-0005;SRC-0006,Item14,M1-1.0.0
202403-0910-005,item15,6,10,Consolidation across control numbers distinguished from adjustments; no complete input bridge.,SRC-0005;SRC-0006,Item15,M1-1.0.0
202403-0910-005,validation,3,5,Agency experience and50–5000-hour range; no distribution or reproducible calibration.,SRC-0005;SRC-0006,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202403-0910-005,consistency,1,5,5 resubmissions table versus3 narrative;multiple hours-to-minutes approximations.,SRC-0005;SRC-0006,Items12–15 and ROCIS summary,M1-1.0.0
202403-1219-001,reproducibility,19,20,"Four activities with mine counts, frequency and exact minutes; burden totals reconstruct.",SRC-0109;SRC-0110,Item12,M1-1.0.0
202403-1219-001,provenance,11,15,"NAICS/SOC, OEWS2021, ECEC and ECI series and GDP index identified; older2019 population anchored to rule analysis.",SRC-0109;SRC-0110,Items12–15 and footnotes,M1-1.0.0
202403-1219-001,segmentation,13,15,"SOP revision, ASTM records, medical/fit tests and emergency inspections separate.",SRC-0109;SRC-0110,Item12,M1-1.0.0
202403-1219-001,labor,4,10,"Benefit and overhead factors explicit, but both ECI and GDP inflation appear applied over the same2021–22 period.",SRC-0109;SRC-0110,Item12,M1-1.0.0
202403-1219-001,item13,5,10,No additional nonlabor cost asserted; exclusions to related controls are helpful but cost boundary incomplete.,SRC-0109;SRC-0110,Item13,M1-1.0.0
202403-1219-001,item14,6,10,Routine inspection rationale for zero; incremental inspection time not quantified.,SRC-0109;SRC-0110,Item14,M1-1.0.0
202403-1219-001,item15,8,10,New control and overlap exclusions clearly identified; zero-to-new bridge implicit.,SRC-0109;SRC-0110,Item15,M1-1.0.0
202403-1219-001,validation,3,5,Administrative mine definition and agency experience; no measured four-hour timing evidence.,SRC-0109;SRC-0110,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202403-1219-001,consistency,3,5,Main products reconcile with undisplayed precision; source-period typo and apparent duplicate inflation weaken defensibility.,SRC-0109;SRC-0110,Items12–15 and ROCIS summary,M1-1.0.0
202404-1220-001,reproducibility,19,20,Nine tables reconstruct sector/activity/year burdens with bounded rounding.,SRC-0007;SRC-0008;SRC-0200,Item12,M1-1.0.0
202404-1220-001,provenance,12,15,OSHA instruments/rule and ECEC release identified; release number resolves incorrect reference-period label. Verified in SRC-0200.,SRC-0007;SRC-0008;SRC-0200,Items12–15 and footnotes,M1-1.0.0
202404-1220-001,segmentation,15,15,"Private,mandatory-public,voluntary-public and normally exempt recordkeepers; avoids duplicate OSHA burden.",SRC-0007;SRC-0008;SRC-0200,Item12,M1-1.0.0
202404-1220-001,labor,7,10,Direct ECEC compensation transparent but same sales/office rate across sectors.,SRC-0007;SRC-0008;SRC-0200,Item12,M1-1.0.0
202404-1220-001,item13,10,10,"Explains supplied materials,manual records,no systems work,existing electronic records.",SRC-0007;SRC-0008;SRC-0200,Item13,M1-1.0.0
202404-1220-001,item14,5,10,5.8m federal matching share+17.1m support explained; underlying workload detail absent.,SRC-0007;SRC-0008;SRC-0200,Item14,M1-1.0.0
202404-1220-001,item15,8,10,"270-hour one-time test and25000-hour timing effect stated,old/new totals and future sunset explicit.",SRC-0007;SRC-0008;SRC-0200,Item15,M1-1.0.0
202404-1220-001,validation,3,5,Recording times inherited from OSHA; survey validation does not itself establish all burden times.,SRC-0007;SRC-0008;SRC-0200,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202404-1220-001,consistency,4,5,Table arithmetic largely agrees; reporting/recording labels swapped in summary prose.,SRC-0007;SRC-0008;SRC-0200,Items12–15 and ROCIS summary,M1-1.0.0
202404-1240-007,reproducibility,16,20,Programcountsand10mintimeclear; earlyroundingandgovernmentstaletotals.,SRC-0167;SRC-0168,Item12,M1-1.0.0
202404-1240-007,provenance,9,15,FY2023administrativereceiptsandOPMgradesidentified; respondentwageyearunclear.,SRC-0167;SRC-0168,Items12–15 and footnotes,M1-1.0.0
202404-1240-007,segmentation,12,15,"Threebenefitprograms,contractprocessing/manualexceptionsseparated.",SRC-0167;SRC-0168,Item12,M1-1.0.0
202404-1240-007,labor,5,10,All-worker36.43proxywithnospecificsourceyear; householdopportunityscopeexplicit.,SRC-0167;SRC-0168,Item12,M1-1.0.0
202404-1240-007,item13,8,10,"97%electronic/3%mail,postage/envelopepriced;postaldatecitationquestionable.",SRC-0167;SRC-0168,Item13,M1-1.0.0
202404-1240-007,item14,5,10,UnitcontractcostandfederalFTEsharesdetailed buttotalsretainoldcontractprices.,SRC-0167;SRC-0168,Item14,M1-1.0.0
202404-1240-007,item15,5,10,"5738->9029reasonincreasedclaims, noinputbridge.",SRC-0167;SRC-0168,Item15,M1-1.0.0
202404-1240-007,validation,3,5,Admincountsandbill-processingsystemexperience; timeassumptionnotvalidated.,SRC-0167;SRC-0168,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202404-1240-007,consistency,1,5,Costequation3010wronghours; multiplefederaloldnewmixedvalues.,SRC-0167;SRC-0168,Items12–15 and ROCIS summary,M1-1.0.0
202404-2120-002,reproducibility,16,20,Detailedreport/record/formtables; headline240868.75conflictswith236666detailedtotal.,SRC-0169;SRC-0170,Item12,M1-1.0.0
202404-2120-002,provenance,10,15,"OEWS2023SOCand2024RUSpay; administrativenumbersfromCSOP,benefitbasevintageunclear.",SRC-0169;SRC-0170,Items12–15 and footnotes,M1-1.0.0
202404-2120-002,segmentation,14,15,Initial/amendment/foreignrenewal/manuals/employee/trainingdutiesseparate.,SRC-0169;SRC-0170,Item12,M1-1.0.0
202404-2120-002,labor,6,10,Aircraftmechanicrate36.66*1.29; ECECshareversuswagemarkupnotresolved.,SRC-0169;SRC-0170,Item12,M1-1.0.0
202404-2120-002,item13,6,10,Noadditionalmaterialcostasserted; foreigncertificationfeesmentionedelsewherebutnotquantified.,SRC-0169;SRC-0170,Item13,M1-1.0.0
202404-2120-002,item14,8,10,SevenreviewtaskswithFG13/5and31%loadreconstruct4590h/327726.,SRC-0169;SRC-0170,Item14,M1-1.0.0
202404-2120-002,item15,4,10,"Comprehensive revisionandNOAmentioned, nooldnewquantitativebridge.",SRC-0169;SRC-0170,Item15,M1-1.0.0
202404-2120-002,validation,3,5,Certification-systemcountsandexperience; tasktimesrange2–80butweightingnotshown.,SRC-0169;SRC-0170,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202404-2120-002,consistency,2,5,"Staleheadline,recordkeepingresponse/timecolumnsconflict,MIPprose2vs200h.",SRC-0169;SRC-0170,Items12–15 and ROCIS summary,M1-1.0.0
202404-2137-003,reproducibility,18,20,"Thirteen application categories expose counts, frequencies and hours; overall products reconstruct.",SRC-0081;SRC-0082,Item12,M1-1.0.0
202404-2137-003,provenance,9,15,2022 chemical engineer wages and OPM schedule identified; benefit-share vintage and task timing evidence weaker.,SRC-0081;SRC-0082,Items12–15 and footnotes,M1-1.0.0
202404-2137-003,segmentation,14,15,Initial/renewal applications and approval types distinguished.,SRC-0081;SRC-0082,Item12,M1-1.0.0
202404-2137-003,labor,6,10,Engineer occupation and denominator benefit loading are clear; common share lacks current source detail.,SRC-0081;SRC-0082,Item12,M1-1.0.0
202404-2137-003,item13,5,10,No additional nonlabor costs asserted without further price or systems analysis.,SRC-0081;SRC-0082,Item13,M1-1.0.0
202404-2137-003,item14,5,10,"Federal workload and loaded grade rate supplied, but narrative and table use different rates and counts.",SRC-0081;SRC-0082,Item14,M1-1.0.0
202404-2137-003,item15,8,10,Removal of one approval and five rounded hours tied to rule.,SRC-0081;SRC-0082,Item15,M1-1.0.0
202404-2137-003,validation,2,5,"Agency experience, without testing or representative timing measurements.",SRC-0081;SRC-0082,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202404-2137-003,consistency,1,5,Item 14 table contains 14894 and 73.23 while prose uses 14893 and 80.48.,SRC-0081;SRC-0082,Items12–15 and ROCIS summary,M1-1.0.0
202405-0704-001,reproducibility,17,20,Two upload equations explicit; respondent identity and composite aggregation obscure the population.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-001,provenance,10,15,"Detailed final-rule cost analysis supplements the statement, but no accessible underlying rate database.",SRC-0137;SRC-0138;SRC-0163;SRC-0164,Items12–15 and footnotes,M1-1.0.0
202405-0704-001,segmentation,12,15,Accreditation-body and C3PAO submissions separated; certifying entities substituted for actual uploading organizations.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-001,labor,6,10,GS proxy for accreditation body and composite assessor rate; RIA explains internal versus vendor loading but exact211.70 derivation absent.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item12,M1-1.0.0
202405-0704-001,item13,8,10,Electronic upload has no additional respondent equipment cost; scope reasonably justified.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item13,M1-1.0.0
202405-0704-001,item14,6,10,System O&M total linked to historical cost method in RIA;2731861 not directly bridged to its public series.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item14,M1-1.0.0
202405-0704-001,item15,7,10,New control and cross-control scope explicit; no previous inventory to decompose.,SRC-0137;SRC-0138;SRC-0163;SRC-0164,Item15,M1-1.0.0
