id,title,level,family,classification,difference_observed,evidence_assessed,limitations
CMP-14,Federal amendment-review bundles,cross_ICR,federal_review_time,UNRESOLVED,IAC 120 hours versus FAC 4 hours field review plus 6.75 hours headquarters review.,IAC converts fifteen days into 120 hours without decomposition and pools TSA-issued and industry-requested amendments. FAC separately describes research/drafting and headquarters review. Identical case complexity and staffing are not established.,No inference that a fifteen-day period is necessarily elapsed time or that the pooled IAC mean equals the industry-only mean.
CMP-15,Medical examination payer change,lineage,purchased_services,DIFFERENT_EXPLAINED,"Contractor Federal cost removed and candidate $150 per exam added for 18,000 exams.",Statement explicitly assigns local examination cost to candidates. Payer change explains category movement; no claim of net savings.,No inference about actual respondent performance or agency intent.
CMP-16,Federal cybersecurity plan review staffing,cross_ICR_and_lineage,manager_review,CONSISTENT,8 manager hours and24analyst hours repeated across pipeline and surface plan-review packages.,Per-plan roles and durations align. Serial revisions are not independent replications; later annual wording and wage changes require separate checks.,No inference about actual respondent performance or agency intent.
CMP-17,Manager title alone does not define comparable review,cross_ICR,manager_review,NOT_COMPARABLE,Crew registration5minutes versus cyber implementation plan manager review8hours.,Registration/waiver processing and substantive cyber implementation review are distinct deliverables with no matched scope. Reject candidate.,No inference about actual respondent performance or agency intent.
CMP-18,Credential fees and Federal resource-cost boundary,cross_ICR,fee_treatment,CONSISTENT,Both describe fee financing; TWIC additionally distinguishes excess revenue as transfer.,Shared financing approach is visible. TWIC makes resource/transfer distinction explicit; HME paragraph alone does not quantify net resource cost.,Consistency is limited to financing convention; no complete net social cost or fee adequacy comparison.
CMP-19,Maryland Three familiarization across renewal,cross_ICR_or_lineage,familiarization,CONSISTENT,0.5 hour in each version.,Separate row in both tables retains the same step and duration; wage changes do not change this time coefficient.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-20,Proposed COIP legal review across submissions,cross_ICR_or_lineage,legal_review,CONSISTENT,4 hours per legal review in each.,"Identical Federal legal-review component; 50% eligibility is a separate coefficient. These are proposed versions, not evidence of implemented workload.",Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-21,Coordinator turnover models have different denominators,cross_ICR_or_lineage,turnover,UNRESOLVED,4% annual substitution versus one operator update/year.,No aligned pipeline person-stock denominator or shared empirical calibration is established. Do not form a numeric ratio; retain method-selection question.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-22,mDL initial and insufficient-application resubmission,cross_ICR_or_lineage,application,DIFFERENT_EXPLAINED,20 hours initial and 5 hours resubmission.,Source defines resubmission as incremental 25% of initial effort; not a mutually exclusive initial path.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-23,Annual recordkeeping is not per-record entry,cross_ICR_or_lineage,recordkeeping,NOT_COMPARABLE,104 hours per school/year versus 1 minute per training record.,No common per-record denominator for the annual school bundle. Reject numerical comparison.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-24,TRIP form time revised using user experience,cross_ICR_or_lineage,appeal,DIFFERENT_EXPLAINED,60 minutes becomes 30 minutes.,"Current Item15 attributes the reduction to user experience. Underlying timing sample remains unavailable; this supports explanation, not measured universal completion time.",Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-25,SSI bidder CHRC pathway includes additional activities,cross_ICR_or_lineage,threat_assessment,DIFFERENT_EXPLAINED,15 minutes without CHRC versus 116 minutes with CHRC.,With-CHRC pathway includes fingerprinting and travel/wait omitted from the no-CHRC pathway. Scope explains the different total durations.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-26,LEOSA rejection review request across renewals,cross_ICR_or_lineage,appeal,CONSISTENT,8 hours in each version.,Source-defined review-request component persists across versions.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-27,Pipeline physical incident reporting across renewals,cross_ICR_or_lineage,notification,CONSISTENT,30-minute maximum in each.,Same task boundary and maximum statistic recur. This is not a finding that actual mean time is 30 minutes.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-28,Federal processing versus eligibility verification,cross_ICR_or_lineage,federal_review_time,NOT_COMPARABLE,3-minute FFDO electronic processing versus 45-minute LEO eligibility determination.,Eligibility determination explicitly verifies application information; matching the substantive verification scope to FFDO processing is unsupported. Reject label-only ratio.,Only listed versions/components. Equality does not establish empirical accuracy; serial versions are not independent replications.
CMP-29,DASSP operator application continuity,lineage,application,CONSISTENT,No change in the named duration component.,Same aircraft-operator application across renewal; the70-minute ASO nomination packet remains separate. Published durations match. Consistency is limited to the retained one-hour initial operator application coefficient; field scope is not proven identical.,No whole-ICR consistency or efficiency claim.
CMP-30,Claim filing continuity,lineage,application,CONSISTENT,No change in the named duration component.,Same claimant filing activity across renewal; conditional payment information and rare Form600 remain separate. Published durations match.,No whole-ICR consistency or efficiency claim.
CMP-31,Secure Flight identity-data transmission across carrier classes,cross_ICR_and_lineage,task_duration,CONSISTENT,No change in the named duration component.,Same130-second identity-data transmission; carrier event frequency differs. Resolution calls and direct visitor applications are excluded. Published durations match.,No whole-ICR consistency or efficiency claim.
CMP-32,Canine adoption application continuity,lineage,application,CONSISTENT,No change in the named duration component.,Same voluntary adopter application across renewal; unrelated10-minute applications are not included. Published durations match.,No whole-ICR consistency or efficiency claim.
